Time,Latitude,Longitude,Speed[km/h],Altitude[m],Active_Satelites,
14:36:10,+49.226879,+16.573978,0.45,296.8,5,
14:36:11,+49.226883,+16.573971,0.03,297.3,5,
14:36:12,+49.226883,+16.573967,0.15,297.6,5,
14:36:13,+49.226883,+16.573963,0.11,297.6,5,
14:36:14,+49.226883,+16.573963,0.24,297.7,5,
14:36:15,+49.226883,+16.573965,0.29,297.7,5,
14:36:16,+49.226883,+16.573963,0.12,297.7,5,
14:36:17,+49.226883,+16.573963,0.10,297.7,5,
14:36:18,+49.226883,+16.573961,0.12,297.7,5,
14:36:19,+49.226883,+16.573961,0.20,297.7,5,
14:36:20,+49.226883,+16.573961,0.31,297.7,5,
14:36:21,+49.226883,+16.573963,0.24,297.8,5,
14:36:22,+49.226883,+16.573963,0.25,297.8,5,
14:36:23,+49.226883,+16.573963,0.56,297.8,5,
14:36:24,+49.226887,+16.573963,1.05,297.8,5,
14:36:25,+49.226887,+16.573965,0.81,297.8,5,
14:36:26,+49.226891,+16.573963,0.89,297.8,5,
14:36:27,+49.226891,+16.573959,1.39,297.8,5,
14:36:28,+49.226894,+16.573946,2.14,298.3,5,
14:36:29,+49.226891,+16.573931,2.82,298.6,5,
14:36:30,+49.226891,+16.573904,4.01,299.2,5,
14:36:31,+49.226891,+16.573885,3.37,300.0,5,
14:36:32,+49.226891,+16.573875,2.27,300.3,5,
14:36:33,+49.226891,+16.573870,1.10,300.7,5,
14:36:34,+49.226894,+16.573864,0.70,301.2,5,
14:36:35,+49.226894,+16.573860,0.64,301.6,5,
14:36:36,+49.226894,+16.573853,1.00,301.9,5,
14:36:37,+49.226898,+16.573839,2.33,302.4,5,
14:36:38,+49.226902,+16.573824,3.44,302.6,5,
14:36:39,+49.226906,+16.573801,4.16,302.9,5,
14:36:40,+49.226906,+16.573780,4.90,303.1,5,
14:36:41,+49.226913,+16.573761,5.19,303.2,5,
14:36:42,+49.226917,+16.573742,5.53,303.5,5,
14:36:43,+49.226929,+16.573727,5.44,303.8,5,
14:36:44,+49.226940,+16.573713,5.67,304.1,5,
14:36:45,+49.226955,+16.573700,6.11,304.4,5,
